Latidude, Longitude
63.4116244,10.4338579
63.4115427,10.4335293
63.4114104,10.433122
63.4111235,10.4331649
63.411149,10.4340176
63.4116122,10.4341642
63.4116414,10.4343318
63.4123954,10.4334334
63.4125595,10.4331333
63.4128601,10.4327812
63.4132918,10.43236
63.4143168,10.4317678
63.4154948,10.43131
63.4160053,10.4311645
63.4160667,10.4311113
63.4165423,10.4303698
63.4167427,10.4299807
63.4172886,10.4278354
63.4173796,10.4278263
63.4174116,10.4275226
63.4173212,10.4274246
63.4173234,10.4265942
63.4168704,10.4202616
63.4168574,10.4201779
63.4167728,10.4181487
63.4174042,10.4155364
63.4175489,10.4152345
63.4179393,10.4144698
63.4181852,10.4139232
63.4182987,10.41371
63.4185876,10.4131895
63.4189811,10.4126775
63.4193754,10.412198
63.4204587,10.4117685
63.4204898,10.4117866
63.4204196,10.4103181
63.4206281,10.4091185
63.4206729,10.4089662
63.420635,10.408878
63.4205063,10.4085551
63.4201715,10.4053967
63.4205884,10.4046129
63.4209849,10.4038436
63.4213544,10.4028879
63.4220906,10.3992454
63.4226237,10.3961932
63.4228522,10.3943768
63.4229378,10.3943594
63.4249145,10.3937931
63.4257535,10.3935348
63.4264994,10.3933737
63.4275091,10.3930141
63.428128,10.3928424
63.4286514,10.3927135
63.4290494,10.3926155
63.4291183,10.3909211
63.4291936,10.3893012
63.4292003,10.3891207
63.4292216,10.3884376
63.4292261,10.3882718
63.4292386,10.3872956
63.4289975,10.3872501
