Latidude, Longitude
59.9134523,10.738421
59.9138057,10.7388189
59.9139019,10.7389256
59.9149148,10.7400543
59.9156848,10.7375171
59.9159195,10.7367083
59.9165339,10.7345909
59.9165875,10.7344042
59.9157398,10.733419
59.915577,10.7332275
59.915481,10.7331024
59.9153852,10.7329398
59.9151799,10.7323211
59.9151886,10.7321033
59.9152223,10.7312041
59.9152509,10.7302697
59.9152644,10.7296586
59.9153531,10.7267663
59.915374,10.7259737
59.915408,10.7242491
59.9153524,10.7227279
59.9153679,10.7226702
59.9153482,10.7224986
59.9153293,10.7224659
59.9152425,10.7211266
59.9152292,10.7208555
59.9151417,10.720087
59.9151177,10.7199678
59.9147483,10.7179804
59.9148094,10.717851
59.91482,10.71778
59.9148162,10.7176622
59.9147461,10.717493
59.9148236,10.7169292
59.9153457,10.715185
59.9158137,10.7136152
59.9163107,10.7119373
59.9166267,10.7108738
59.917246,10.7087789
59.9174051,10.708246
59.9174894,10.7079605
59.9175626,10.7077168
59.9177523,10.7070811
59.9178412,10.7067793
59.9178833,10.7066368
59.9180554,10.7060684
59.9185167,10.704519
59.9187349,10.7032724
59.9189988,10.7015294
59.9192219,10.7000752
59.9192487,10.6985027
59.9192501,10.69734
59.9192486,10.6963358
59.9192482,10.6960459
59.9192476,10.6958751
59.9192509,10.6954945
59.9192482,10.6950743
59.9192554,10.6943655
59.919134,10.6936008
59.9190039,10.6927401
59.9189191,10.6921838
59.9188783,10.6919047
59.9188629,10.691792
59.918675,10.6905506
59.9186606,10.6904526
59.9185835,10.6899098
59.9185323,10.6895495
59.9184167,10.6889649
59.9182648,10.6878743
59.9182631,10.6872493
59.9182826,10.6871675
59.9182421,10.6869363
59.9182263,10.6869227
59.9184612,10.6836197
59.9194174,10.6820631
59.9198211,10.6812104
59.9204511,10.6784524
59.9208153,10.6763709
59.9209068,10.675259
59.9206909,10.6729083
59.920627,10.6726221
59.9201071,10.6708043
59.918523,10.6656162
59.9181813,10.6632312
59.9176304,10.6608863
59.9174747,10.660227
59.9175279,10.6596111
59.9172496,10.6592826
59.9170041,10.6581431
59.9169557,10.6578982
59.9161685,10.6537684
59.9156682,10.6507797
59.9156126,10.6504672
59.9153853,10.6492628
59.9151376,10.6483157
59.914074,10.6443465
59.9135256,10.6417827
59.9133743,10.641039
59.9131869,10.6400467
59.9131566,10.639852
59.9129276,10.6381672
59.9128009,10.6373653
59.9125567,10.6354967
59.911958,10.633059
59.9109739,10.6305712
59.9099033,10.6278649
59.9088607,10.623797
59.9083747,10.6217965
59.9048636,10.6063438
59.904466,10.6019688
59.9041967,10.600639
59.9033667,10.5968007
59.9030592,10.5955498
59.9025658,10.5937572
59.9010128,10.5871953
59.9006537,10.5852315
59.8995715,10.5773784
59.8991333,10.5757498
59.8980925,10.5710768
59.8980374,10.5698464
59.898021,10.5696344
59.8979628,10.5692473
59.8975756,10.5670813
59.8971217,10.5655568
59.8960509,10.5597764
59.8955831,10.5571564
59.895053,10.5541869
59.8946853,10.5502756
59.8945585,10.5480587
59.8939306,10.5450354
59.8933462,10.5429268
59.8910676,10.5315207
59.8893433,10.5263159
59.8891482,10.5258733
59.8889086,10.5253637
59.8887744,10.5250844
59.8887006,10.5249311
59.8884679,10.5242985
59.8883624,10.5240648
59.8883319,10.5221714
59.8884165,10.521812
59.8888004,10.5207275
59.8939564,10.5034282
59.9018523,10.4960139
59.9022009,10.4956099
59.9029948,10.4945328
59.9032913,10.4940896
59.903585,10.4936381
59.9048948,10.491629
59.905189,10.4911755
59.9063822,10.4890475
59.9078088,10.4839472
59.9078662,10.4837148
59.9081371,10.482572
59.910016,10.4784647
59.910161,10.4782998
59.9104719,10.4780084
59.9111976,10.4775511
59.9135936,10.4774044
59.9214832,10.4676094
59.9222367,10.4653343
59.9233406,10.4623248
59.9248227,10.4594882
59.9330245,10.4401546
59.9345091,10.4369773
59.9352203,10.4356786
59.9356849,10.4348186
59.9364081,10.4335043
59.9367578,10.4328386
59.9381895,10.4288256
59.9385543,10.4265844
59.9382856,10.4222928
59.938112,10.420635
59.938005,10.419903
59.93802,10.419817
59.93793,10.419618
59.937803,10.419116
59.9389293,10.4094377
59.9393979,10.4079353
59.9403849,10.4059415
59.9404418,10.4058888
59.9408112,10.405533
59.9439952,10.4031167
59.9453192,10.4019667
59.9466686,10.3931934
59.947642,10.385654
59.947614,10.384466
59.947635,10.384315
59.947807,10.383305
59.9486502,10.3809281
59.9497985,10.3789533
59.951089,10.377798
59.95145,10.377663
59.951685,10.377697
59.951824,10.377668
59.95204,10.377576
59.952313,10.377589
59.9541279,10.3757729
59.9545416,10.3749467
59.9565257,10.3710978
59.9568447,10.3703521
59.9572985,10.3691304
59.9587145,10.3622116
59.9592134,10.3610918
59.9594798,10.3607296
59.9596259,10.3605394
59.9603277,10.3598173
59.960626,10.359475
59.9612813,10.3587796
59.9618061,10.3579107
59.9618983,10.3576985
59.9622464,10.3570119
59.9624507,10.3566287
59.9628809,10.3556617
59.9633246,10.3544064
59.9636569,10.3532436
59.963745,10.3528477
59.9640192,10.3504114
59.9640168,10.3497429
59.9639366,10.3479297
59.9638899,10.3468635
59.9638872,10.3460339
59.9638852,10.3456664
59.9639575,10.3444791
59.9642362,10.3434685
59.9653411,10.3419474
59.9659015,10.3416219
59.9668203,10.3413023
59.9671387,10.3411726
59.9710906,10.3392028
59.9715591,10.338726
59.9743752,10.332799
59.976944,10.325631
59.9771613,10.3246963
59.9777007,10.3233635
59.9786176,10.321734
59.9789999,10.3206692
59.9810514,10.3136815
59.9821356,10.3106899
59.9831679,10.3091065
59.9836432,10.3084331
59.9896631,10.3022828
59.9908217,10.301889
59.9910526,10.3018353
59.992784,10.3014454
59.9929556,10.3013916
59.9930892,10.3013446
60.0012718,10.286049
60.0018443,10.284753
60.0022003,10.283976
60.0025069,10.2833693
60.02545,10.2686171
60.0270715,10.268976
60.030182,10.2699673
60.0515075,10.2815599
60.0518921,10.2824177
60.0520888,10.2828658
60.0524626,10.2837288
60.0527504,10.2843936
60.0533697,10.2857928
60.0539502,10.2871419
60.0543132,10.2880561
60.0544831,10.2885929
60.0546033,10.2890471
60.0550368,10.2915824
60.055136,10.2922453
60.0553254,10.2939405
60.0555659,10.2948609
60.0570583,10.3003754
60.0572029,10.3014732
60.0584899,10.3052872
60.0586863,10.3056935
60.0594523,10.3066353
60.0614072,10.3082814
60.0622163,10.308176
60.0626693,10.3073278
60.062704,10.307201
60.0625384,10.3042992
60.0624251,10.3025533
60.0633761,10.3006201
60.0641248,10.2995261
60.06476,10.2986115
60.0651811,10.2981511
60.0655472,10.2978735
60.0656134,10.2978453
60.0664038,10.2978963
60.0671347,10.2985387
60.0673185,10.2987175
60.0685711,10.3000364
60.0745057,10.3003514
60.0766321,10.2933171
60.0770813,10.292658
60.0775335,10.2912686
60.0775985,10.2906361
60.0776907,10.2876234
60.0802032,10.2850927
60.0808066,10.285436
60.0812748,10.2857119
60.0816612,10.2864359
60.0816348,10.2865801
60.0817082,10.2867964
60.0818332,10.2867388
60.0818547,10.286491
60.083469,10.2867604
60.0848686,10.2863413
60.08611,10.28634
60.090713,10.2901285
60.0910106,10.2903848
60.0918505,10.2910768
60.0924724,10.291585
60.0931585,10.2920102
60.0959062,10.2921695
60.0997591,10.2902938
60.0998038,10.2902733
60.1006821,10.2899475
60.1012784,10.2896699
60.1013606,10.2896297
60.1023045,10.2890772
60.1044959,10.2880297
60.1075842,10.2865546
60.1082203,10.2862508
60.1087714,10.2859846
60.1099387,10.2855454
60.1100171,10.285515
60.1114312,10.2847197
60.1132183,10.2838616
60.114093,10.2835411
60.114947,10.2831589
60.1150339,10.2831173
60.116127,10.2825178
60.1163716,10.2823515
60.1169874,10.2820612
60.1180848,10.2815831
60.1183267,10.2815043
60.1207946,10.2808504
60.1216866,10.2806176
60.1219597,10.2805448
60.12245,10.2804251
60.1228826,10.2803121
60.1232278,10.2802225
60.1243284,10.2800003
60.124437,10.2799967
60.1290476,10.2755568
60.1294154,10.2753737
60.1300631,10.2749886
60.1303356,10.274829
60.1305145,10.2747224
60.1307526,10.2745853
60.130817,10.2745028
60.1339416,10.2739507
60.1355458,10.2723953
60.1356593,10.2721884
60.1358891,10.2720066
60.1359131,10.2720311
60.1360477,10.2720038
60.1361123,10.2716973
60.1362138,10.2711094
60.1373437,10.2683758
60.1374407,10.2681229
60.1377421,10.2673992
60.1385367,10.2654718
60.1393339,10.2639811
60.1420432,10.2618721
60.14214,10.2618083
60.1451885,10.2588503
60.1457707,10.2576835
60.1461785,10.2565172
60.1465395,10.2551539
60.147039,10.2524365
60.1465805,10.2415711
60.1463481,10.2406813
60.1462903,10.2404661
60.1455713,10.2333502
60.1462541,10.2302169
60.1471278,10.2283909
60.149723,10.2232546
60.1516322,10.2197957
60.1525171,10.2191362
60.1534387,10.2187537
60.1549817,10.2186352
60.1658441,10.2183119
60.1689674,10.2149755
60.169392,10.2148922
60.1697066,10.2148571
60.1697261,10.2145986
60.1696375,10.2143517
60.1696647,10.2136867
60.1701695,10.2127771
60.1733218,10.2106064
60.1775357,10.2006051
60.1775611,10.2003999
60.1867797,10.1807606
60.1868753,10.1804657
60.192042,10.1657298
60.1921078,10.1655648
60.1930404,10.1626419
60.1933689,10.1612012
60.1945274,10.1552397
60.1951792,10.1534369
60.1959886,10.1501491
60.1960884,10.1492983
60.2005028,10.1304544
60.2014535,10.127594
60.2014994,10.1273624
60.2015476,10.1270711
60.2016487,10.1204918
60.2014937,10.119452
60.20137,10.1148506
60.201411,10.1147551
60.2027056,10.1119224
60.2032721,10.1067238
60.2032492,10.1044526
60.2036572,10.0995142
60.2035055,10.0972944
60.2036933,10.0922406
60.2026904,10.0941256
60.2025839,10.0942587
60.2024194,10.0943052
60.201414,10.0835383
60.2028221,10.0740069
60.2030341,10.0677417
60.2042042,10.0564015
60.2046221,10.0548651
60.2048608,10.0536911
60.2048763,10.0535856
60.2051107,10.0500794
60.2055186,10.0400177
60.2055794,10.0387207
60.2056257,10.0376816
60.2056337,10.0375197
60.206241,10.0301171
60.2063124,10.0279941
60.2064218,10.0278906
60.2078315,10.027674
60.2079215,10.0257416
60.2079946,10.0241845
60.2082678,10.0057891
60.2082965,10.0032898
60.208432,10.0020415
60.208338,9.993237
60.208193,9.9910616
60.2090615,9.9809641
60.2112652,9.9801714
60.2214847,9.9746701
60.2216609,9.974551
60.2222869,9.9741287
60.2279925,9.9678255
60.2292906,9.9634374
60.2295202,9.962657
60.2297143,9.9619986
60.2298135,9.9616624
60.2299383,9.9612391
60.2301581,9.9604936
60.2304294,9.9595714
60.232162,9.9536916
60.2322756,9.9533129
60.2360693,9.9363491
60.2370535,9.9330487
60.2371953,9.9323463
60.2374892,9.9312267
60.2376599,9.9308053
60.2380509,9.9298999
60.2383118,9.9292948
60.2383767,9.9291447
60.2388849,9.9279716
60.2391933,9.9272871
60.239461,9.9266969
60.2397267,9.9261112
60.2400027,9.9254892
60.2404133,9.9245255
60.2407237,9.9237667
60.2407923,9.9235976
60.2410835,9.9228923
60.2414622,9.9219477
60.2416528,9.9213454
60.2419792,9.919113
60.242069,9.9185267
60.2421745,9.9180799
60.2423086,9.9176485
60.2423455,9.9175729
60.24254,9.9171761
